question,intent,answer
 كيف يمكنني جدولة مديونيتي على أقساط شهرية في فاتورة الكهرباء؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني تقسيط ديوني في فاتورة الكهرباء؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ما هي الخطوات اللازمة لجدولة مديونيتي في فاتورة الكهرباء؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يوجد خيار لتقسيط ديوني في فاتورة الكهرباء؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 كيف يمكنني تقسيط مديونيتي في فاتورة الكهرباء؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ما هي الطريقة المثلى لجدولة مديونيتي في فاتورة الكهرباء؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني تقسيط فاتورة الكهرباء المتأخرة؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 كيف يمكنني تقسيط ديوني في فاتورة الكهرباء عبر الإنترنت؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 ما هي الخطوات اللازمة لجدولة مديونيتي في فاتورة الكهرباء عبر الإنترنت؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
 هل يمكنني تقسيط مديونيتي في فاتورة الكهرباء عبر الإنترنت؟,Scheduling_indebtedness_in_monthly_installments_(electricity)_(electricity_platform),"{'custom': {'Answer': 'جدولة مديونية علي اقساط شهرية (الكهرباء)\n \nطلب تقسيط المديونية على اقساط شهرية عن المديونية المستحقة و ليس تراكم الاستهلاك\n \nموقع الخدمة :https://eservices.eehc.gov.eg/services/MDS/add\n \nالمستندات المطلوبة :\n \nالمتطلبات :العداد', 'Name': 'جدولة مديونية علي اقساط شهرية (الكهرباء)  (منصة الكهرباء) ', 'Action': [], 'Type': None}}"
